name,location,latlong,year,year-meyerink,method,included-in-espy,included-in-meyerink,included-in-jewett-or-salem,notes
achsah young,"hartford, ct","41.7627,-72.6743",1647,1647,hanging,TRUE,TRUE,TRUE,
margaret jones,"boston, ma","42.3581,-71.0636",1648,1648,hanging,TRUE,TRUE,TRUE,
mary johnson,"hartford, ct","41.7627,-72.6743",1649,1650,hanging,TRUE,TRUE,TRUE,
elizabeth kendall,"cambridge, ma","42.3736,-71.1106",1650,1647,hanging,TRUE,TRUE,TRUE,"listed in wikipedia, listed as kendall in espy"
goodwife bassett,"fairfield, ct","41.1758,-73.2719",1651,1651,hanging,TRUE,TRUE,TRUE,
mary parsons,"boston, ma","42.3581,-71.0636",1651,null,hanging,TRUE,FALSE,TRUE,
goodwife knapp,"hartford, ct","41.7627,-72.6743",1653,1653,hanging,TRUE,TRUE,TRUE,listed in espy as elizabeth knapp
ann hibbens,"boston, ma","42.3581,-71.0636",1656,1656,hanging,TRUE,TRUE,TRUE,
mary barnes,"farmington, ct","41.7278,-72.8403",1662,1663,hanging,TRUE,TRUE,FALSE,
nathaniel greensmith,"hartford, ct","41.7627,-72.6743",1662,1663,hanging,TRUE,TRUE,TRUE,
rebecca greensmith,"hartford, ct","41.7627,-72.6743",1662,1663,hanging,TRUE,TRUE,TRUE,
mary sanford,"hartford, ct","41.7627,-72.6743",1662,null,null,FALSE,TRUE,FALSE,
alice lake,"dorchester, ma","42.3167,-71.0500",1684,1651,hanging,TRUE,TRUE,FALSE,listed in espy as mrs. lake henry
rebecca fowler,"st.mary's, md","38.2522,-76.5636",1685,1685,hanging,TRUE,TRUE,FALSE,
goody glover,"boston, ma","42.3581,-71.0636",1688,1688,hanging,TRUE,TRUE,TRUE,
bridget bishop,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
george burroughs,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
martha carrier,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
giles corey,"salem, ma","42.5168,-70.8985",1692,1692,pressing,TRUE,TRUE,TRUE,
martha corey,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
mary eastly,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
sarah good,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
elizabeth how,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,howe
george jacobs,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,listed in espy as sr. jacobs george
sussanah martin,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,listed in meyerink as susannah
rebecca nurse,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
alice parker,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
mary parker,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
john proctor,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
ann pudeator,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
wilmot reed,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
margaret scott,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
samuel wardwell,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
sarah wildes,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,listed in espy as sarah wild
john willard,"salem, ma","42.5168,-70.8985",1692,1692,hanging,TRUE,TRUE,TRUE,
joan carrington,"wethersfield, ct","41.7011,-72.6694",null,1651,null,FALSE,TRUE,FALSE,
john carrington,"wethersfield, ct","41.7011,-72.6694",null,1651,null,FALSE,TRUE,FALSE,